IMAGE, DETECTOR, DESCRIPTOR, MATCHER, SELECTOR, #KEYPOINTS, #DESCRIPTORS, #MATCHED KEYPOINTS, TTC CAMERA, TTC LIDAR, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHER ELAPSED TIME
6, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1877, 9216, 108, 14.5071, 12.7835, 13.0631, 42.9613, 0.65621
7, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1894, 9152, 106, 12.5506, 11.9844, 13.269, 43.1156, 0.643003
8, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1889, 9408, 104, 14.8719, 13.1241, 13.2321, 42.6547, 0.645129
9, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1917, 8832, 101, 11.9897, 13.0241, 13.6232, 43.4492, 0.684698
10, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1874, 8384, 91, 13.7999, 11.1746, 13.5552, 43.2113, 0.583445
11, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1912, 8832, 86, 11.8645, 12.8086, 13.6917, 43.6698, 0.614133
12, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1930, 8960, 102, 11.7604, 8.95978, 13.5369, 44.5899, 0.637286
13, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1881, 8832, 100, 13.0977, 9.96439, 13.873, 43.9864, 0.650075
14, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1886, 8128, 100, 11.8371, 9.59863, 13.4152, 43.0478, 0.615867
15, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1957, 9408, 95, 11.205, 8.52157, 13.0503, 42.7409, 0.60106
16, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1888, 8576, 95, 11.9741, 9.51552, 13.4562, 43.0118, 0.589916
17, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1919, 8960, 100, 12.5741, 9.61241, 13.0188, 42.9822, 0.587196
1, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1759, 19584, 127, 16.5413, 12.5156, 12.9457, 23.2646, 1.12107
2, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1820, 20096, 130, 18.9342, 12.6142, 14.1015, 23.8182, 1.22724
3, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1850, 19456, 129, 17.5079, 14.091, 13.3931, 22.934, 1.21028
4, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1828, 20096, 133, 13.1666, 16.6894, 13.4205, 23.1949, 1.22699
5, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1806, 18688, 128, 13.119, 15.7465, 13.4811, 22.9789, 1.1467
6, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1877, 18432, 128, 15.1537, 12.7835, 13.4391, 23.3073, 1.06123
7, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1894, 18304, 121, 13.5893, 11.9844, 13.1525, 23.0451, 1.0461
8, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1889, 18816, 130, 14.2567, 13.1241, 13.4256, 22.8166, 1.06685
9, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1917, 17664, 117, 11.5656, 13.0241, 13.4668, 23.0622, 1.05005
10, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1874, 16768, 115, 19.9188, 11.1746, 13.1277, 20.4701, 0.951055
11, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1912, 17664, 111, 12.267, 12.8086, 13.0743, 23.0207, 0.898119
12, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1930, 17920, 117, 12.671, 8.95978, 16.0407, 20.6386, 0.990857
13, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1881, 17664, 124, 13.6002, 9.96439, 13.1379, 23.954, 1.00866
14, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1886, 16256, 119, 12.2506, 9.59863, 13.1715, 22.6335, 0.922678
15, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1957, 18816, 117, 16.2173, 8.52157, 13.1066, 22.4648, 0.969157
16, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1888, 17152, 117, 14.8146, 9.51552, 13.0246, 22.8439, 0.992907
17, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1919, 17920, 116, 12.8249, 9.61241, 13.1511, 22.3235, 0.964127
1, HARRIS, BRISK, MAT_BF, SEL_KNN, 209, 1472, 12, 11.3522, 12.5156, 15.572, 1.49421, 0.092458
